latitude,longitude,timestamp
26.6863,119.9291,1586855482
26.1956,120.4118,1586855492
25.7266,120.8674,1586855502
25.2325,121.3414,1586855513
24.7365,121.8113,1586855523
24.2625,122.2549,1586855533
23.7632,122.7169,1586855544
23.2862,123.1532,1586855554
22.7837,123.6077,1586855564
22.2797,124.0585,1586855575
21.7983,124.4844,1586855585
21.2915,124.9284,1586855595
20.8075,125.3480,1586855605
20.2980,125.7854,1586855616
19.8115,126.1990,1586855626
19.2995,126.6304,1586855636
18.7862,127.0587,1586855647
18.2964,127.4639,1586855657
17.7809,127.8867,1586855667
17.2890,128.2869,1586855678
16.7714,128.7045,1586855688
16.2528,129.1196,1586855699
15.7579,129.5127,1586855709
15.2374,129.9232,1586855719
14.7409,130.3119,1586855729
14.2187,130.7180,1586855740
13.7207,131.1028,1586855750
13.1969,131.5049,1586855760
12.6724,131.9050,1586855771
12.1722,132.2844,1586855781
11.6464,132.6810,1586855791
11.1449,133.0572,1586855801
10.6178,133.4507,1586855812
10.0900,133.8426,1586855822
9.5868,134.2146,1586855832
9.0580,134.6038,1586855843
8.5540,134.9733,1586855853
8.0243,135.3600,1586855863
7.4941,135.7456,1586855874
6.9888,136.1119,1586855884
6.4579,136.4955,1586855895
5.9519,136.8600,1586855905
5.4202,137.2420,1586855915
4.9137,137.6050,1586855925
4.3816,137.9856,1586855936
3.8492,138.3655,1586855946
3.3421,138.7267,1586855956
2.8093,139.1057,1586855967
2.3019,139.4662,1586855977
1.7690,139.8444,1586855987
1.2360,140.2223,1586855998
0.7284,140.5820,1586856008
0.1953,140.9597,1586856018
-0.3124,141.3193,1586856028
-0.8454,141.6969,1586856039
-1.3530,142.0567,1586856049
-1.8860,142.4346,1586856059
-2.4187,142.8128,1586856070
-2.9261,143.1733,1586856080
-3.4585,143.5521,1586856091
-3.9654,143.9134,1586856101
-4.4975,144.2932,1586856111
-5.0293,144.6737,1586856122
-5.5355,145.0366,1586856132
-6.0667,145.4185,1586856142
-6.5975,145.8011,1586856153
-7.1028,146.1665,1586856163
-7.6328,146.5509,1586856173
-8.1373,146.9181,1586856183
-8.6665,147.3048,1586856194
-9.1953,147.6927,1586856204
-9.6983,148.0632,1586856214
-10.2259,148.4537,1586856225
-10.7279,148.8268,1586856235
-11.2543,149.2201,1586856245
-11.7551,149.5962,1586856255
-12.2802,149.9927,1586856266
-12.8046,150.3909,1586856277
-13.3033,150.7719,1586856287
-13.8261,151.1737,1586856297
-14.3233,151.5582,1586856307
-14.8445,151.9640,1586856318
-15.3401,152.3525,1586856328
-15.8595,152.7627,1586856338
-16.3780,153.1752,1586856349
-16.8708,153.5702,1586856359
-17.3873,153.9875,1586856369
-17.8782,154.3874,1586856379
-18.3925,154.8099,1586856390
-18.9056,155.2350,1586856400
-19.3933,155.6427,1586856410
-19.9041,156.0737,1586856421
-20.3895,156.4870,1586856431
-20.8977,156.9240,1586856441
-21.4046,157.3643,1586856452
-21.8859,157.7867,1586856462
-22.3900,158.2336,1586856473
-22.8686,158.6624,1586856483
-23.3696,159.1164,1586856493
-23.8691,159.5741,1586856504
-24.3432,160.0136,1586856514
-24.8394,160.4790,1586856524
-25.3103,160.9260,1586856534
-25.8030,161.3994,1586856545
-26.2938,161.8772,1586856555
-26.7594,162.3362,1586856565
-27.2464,162.8227,1586856576
-27.7083,163.2903,1586856586
-28.1913,163.7859,1586856596
-28.6493,164.2625,1586856606
-29.1280,164.7678,1586856617
-29.6045,165.2783,1586856627
-30.0561,165.7692,1586856637
-30.5279,166.2899,1586856648
-30.9749,166.7910,1586856658
-31.4418,167.3226,1586856669
-31.9060,167.8598,1586856679
-32.3458,168.3771,1586856689
-32.8047,168.9260,1586856700
-33.2392,169.4544,1586856710
-33.6925,170.0153,1586856720
-34.1428,170.5826,1586856731
-34.5688,171.1290,1586856741
-35.0130,171.7091,1586856751
-35.4330,172.2680,1586856761
-35.8708,172.8614,1586856772
-36.2845,173.4333,1586856782
-36.7156,174.0407,1586856792
-37.1429,174.6553,1586856803
-37.5466,175.2477,1586856813
-37.9667,175.8771,1586856823
-38.3632,176.4839,1586856833
-38.7757,177.1285,1586856844
-39.1840,177.7811,1586856854
-39.5689,178.4100,1586856865
-39.9689,179.0784,1586856875
-40.3457,179.7228,1586856885
-40.7369,-179.5924,1586856896
-41.1052,-178.9322,1586856906
-41.4872,-178.2306,1586856916
-41.8644,-177.5201,1586856927
-42.2189,-176.8352,1586856937
-42.5861,-176.1074,1586856947
-42.9310,-175.4058,1586856957
-43.2878,-174.6602,1586856968
-43.6226,-173.9414,1586856978
-43.9686,-173.1776,1586856988
-44.3087,-172.4045,1586856999
-44.6272,-171.6595,1586857009
-44.9557,-170.8680,1586857019
-45.2629,-170.1053,1586857029
-45.5792,-169.2951,1586857040
-45.8891,-168.4753,1586857050
-46.1781,-167.6856,1586857061
-46.4752,-166.8467,1586857071
-46.7652,-165.9986,1586857082
-47.0349,-165.1820,1586857092
-47.3110,-164.3155,1586857102
-47.5673,-163.4813,1586857112
-47.8291,-162.5963,1586857123
-48.0713,-161.7449,1586857133
-48.3181,-160.8420,1586857143
-48.5571,-159.9300,1586857154
-48.7773,-159.0529,1586857164
-49.0006,-158.1236,1586857174
-49.2055,-157.2307,1586857184
-49.4124,-156.2849,1586857195
-49.6016,-155.3764,1586857205
-49.7917,-154.4147,1586857215
-49.9731,-153.4453,1586857226
-50.1376,-152.5151,1586857236
-50.3015,-151.5314,1586857246
-50.4491,-150.5881,1586857257
-50.5951,-149.5912,1586857267
-50.7317,-148.5882,1586857278
-50.8530,-147.6272,1586857288
-50.9711,-146.6128,1586857298
-51.0746,-145.6420,1586857308
-51.1738,-144.6178,1586857319
-51.2593,-143.6385,1586857329
-51.3393,-142.6064,1586857339
-51.4095,-141.5706,1586857350
-51.4671,-140.5814,1586857360
-51.5177,-139.5402,1586857370
-51.5567,-138.5465,1586857380
-51.5877,-137.5013,1586857391
-51.6079,-136.5048,1586857401
-51.6192,-135.4576,1586857411
-51.6203,-134.4102,1586857422
-51.6120,-133.4129,1586857432
-51.5934,-132.3663,1586857442
-51.5663,-131.3707,1586857452
-51.5280,-130.3269,1586857463
-51.4797,-129.2850,1586857474
-51.4243,-128.2951,1586857484
-51.3564,-127.2588,1586857494
-51.2826,-126.2749,1586857504
-51.1954,-125.2455,1586857515
-51.0984,-124.2205,1586857525
-50.9970,-123.2486,1586857535
-50.8812,-122.2330,1586857546
-50.7619,-121.2710,1586857556
-50.6275,-120.2665,1586857566
-50.4908,-119.3156,1586857576
-50.3382,-118.3235,1586857587
-50.1764,-117.3383,1586857597
-50.0139,-116.4066,1586857607
-49.8346,-115.4356,1586857618
-49.6556,-114.5180,1586857628
-49.4593,-113.5622,1586857638
-49.2543,-112.6146,1586857649
-49.0513,-111.7199,1586857659
-48.8300,-110.7887,1586857670
-48.6117,-109.9100,1586857680
-48.3746,-108.9961,1586857690
-48.1297,-108.0914,1586857701
-47.8892,-107.2381,1586857711
-47.6292,-106.3512,1586857721
-47.3747,-105.5151,1586857731
-47.1003,-104.6466,1586857742
-46.8323,-103.8283,1586857752
-46.5440,-102.9782,1586857762
-46.2488,-102.1377,1586857773
-45.9614,-101.3462,1586857783
-45.6531,-100.5243,1586857793
-45.3535,-99.7505,1586857803
-45.0327,-98.9474,1586857814
-44.7058,-98.1539,1586857824
-44.3887,-97.4069,1586857834
-44.0500,-96.6317,1586857845
-43.7221,-95.9023,1586857855
-43.3721,-95.1453,1586857866
-43.0336,-94.4329,1586857876
-42.6730,-93.6941,1586857886
-42.3072,-92.9643,1586857897
-41.9539,-92.2777,1586857907
-41.5780,-91.5653,1586857917
-41.2155,-90.8950,1586857927
-40.8302,-90.1998,1586857938
-40.4403,-89.5133,1586857948
-40.0646,-88.8672,1586857958
-39.6659,-88.1971,1586857969
-39.2821,-87.5666,1586857979
-38.8750,-86.9124,1586857989
-38.4834,-86.2967,1586857999
-38.0684,-85.6580,1586858010
-37.6493,-85.0270,1586858020
-37.2468,-84.4332,1586858030
-36.8204,-83.8169,1586858041
-36.4109,-83.2367,1586858051
-35.9776,-82.6347,1586858062
-35.5617,-82.0678,1586858072
-35.1217,-81.4794,1586858082
-34.6784,-80.8978,1586858093
-34.2533,-80.3502,1586858103
-33.8039,-79.7815,1586858113
-33.3732,-79.2459,1586858123
-32.9180,-78.6897,1586858134
-32.4600,-78.1396,1586858144
-32.0212,-77.6213,1586858154
-31.5579,-77.0829,1586858165
-31.1141,-76.5754,1586858175
-30.6457,-76.0482,1586858185
-30.1748,-75.5264,1586858196
-29.7241,-75.0344,1586858206
-29.2485,-74.5231,1586858216
-28.7935,-74.0409,1586858226
-28.3135,-73.5394,1586858237
-27.8314,-73.0429,1586858247
-27.3703,-72.5745,1586858258
-26.8840,-72.0871,1586858268
-26.4191,-71.6272,1586858278
-25.9291,-71.1487,1586858289
-25.4607,-70.6970,1586858299
-24.9670,-70.2267,1586858309
-24.4715,-69.7605,1586858320
-23.9981,-69.3204,1586858330
-23.4994,-68.8620,1586858340
-23.0229,-68.4290,1586858350
-22.5211,-67.9779,1586858361
-22.0178,-67.5304,1586858371
-21.5371,-67.1074,1586858381
-21.0309,-66.6666,1586858392
-20.5476,-66.2498,1586858402
-20.0386,-65.8152,1586858412
-19.5528,-65.4042,1586858422
-19.0414,-64.9756,1586858433
-18.5288,-64.5499,1586858443
-18.0396,-64.1471,1586858453
-17.5249,-63.7268,1586858464
-17.0336,-63.3289,1586858474
-16.5166,-62.9136,1586858485
-15.9988,-62.5008,1586858495
-15.5046,-62.1098,1586858505
-14.9849,-61.7015,1586858516
-14.4642,-61.2953,1586858526
-13.9675,-60.9104,1586858536
-13.4451,-60.5083,1586858547
-12.9469,-60.1271,1586858557
-12.4229,-59.7285,1586858567
-11.9233,-59.3508,1586858577
-11.3980,-58.9557,1586858588
-10.8721,-58.5622,1586858598
-10.3706,-58.1890,1586858608
-9.8435,-57.7984,1586858619
-9.3407,-57.4276,1586858629
-8.8125,-57.0397,1586858639
-8.3089,-56.6714,1586858650
-7.7798,-56.2858,1586858660
-7.2502,-55.9013,1586858671
-6.7454,-55.5361,1586858681
-6.2151,-55.1534,1586858691
-5.7097,-54.7898,1586858701
-5.1785,-54.4087,1586858712
-4.6723,-54.0463,1586858722
-4.1406,-53.6666,1586858732
-3.6087,-53.2873,1586858743
-3.1020,-52.9266,1586858753
-2.5697,-52.5483,1586858763
-2.0626,-52.1883,1586858773
-1.5301,-51.8106,1586858784
-0.9976,-51.4331,1586858794
-0.4903,-51.0738,1586858804
0.0424,-50.6964,1586858815
0.5497,-50.3371,1586858825
1.0824,-49.9596,1586858835
1.5897,-49.6000,1586858846
2.1224,-49.2221,1586858856
2.6548,-48.8441,1586858867
3.1618,-48.4836,1586858877
3.6941,-48.1047,1586858887
4.2008,-47.7433,1586858897
4.7326,-47.3633,1586858908
5.2642,-46.9827,1586858918
5.7701,-46.6194,1586858928
6.3012,-46.2372,1586858939
6.8068,-45.8723,1586858949
7.3372,-45.4883,1586858959
7.8421,-45.1215,1586858969
8.3716,-44.7354,1586858980
8.9008,-44.3481,1586858990
9.4043,-43.9781,1586859000
9.9325,-43.5882,1586859011
10.4350,-43.2156,1586859021
10.9620,-42.8230,1586859031
11.4885,-42.4287,1586859042
11.9892,-42.0517,1586859052
12.5144,-41.6542,1586859063
13.0139,-41.2739,1586859073
13.5377,-40.8727,1586859083
14.0357,-40.4889,1586859093
14.5578,-40.0838,1586859104
15.0793,-39.6765,1586859114
15.5749,-39.2866,1586859124
16.0945,-38.8749,1586859135
16.5885,-38.4806,1586859145
17.1061,-38.0641,1586859155
17.5982,-37.6651,1586859165
18.1138,-37.2435,1586859176
18.6282,-36.8192,1586859186
19.1171,-36.4124,1586859196
